state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1080510.0,1437825.0,819728.0
Illinois,17,1674988.0,2481075.0,1294565.0
California,06,5341104.0,7963575.0,4222810.0
Arizona,04,990296.0,1393475.0,780057.0
Massachusetts,25,962711.0,1499450.0,741746.0
Wisconsin,55,864476.0,1080800.0,664353.0
Texas,48,3873581.0,5095175.0,2834361.0
Nebraska,31,259906.0,407500.0,179502.0
Utah,49,510267.0,579700.0,307059.0
Oregon,41,589035.0,840575.0,434561.0
Florida,12,3216044.0,4332100.0,2235645.0
New York,36,0,0,0
Rhode Island,44,131913.0,211850.0,91809.0
Georgia,13,1273015.0,2017525.0,967179.0
New Hampshire,33,191114.0,298175.0,135257.0
North Carolina,37,1447413.0,1985050.0,1075646.0
New Jersey,34,1252742.0,1773525.0,941794.0
Colorado,08,844620.0,1204800.0,586187.0
Maryland,24,778790.0,1188700.0,580112.0
Nevada,32,394172.0,533800.0,308611.0
Tennessee,47,901616.0,1331775.0,618010.0
Hawaii,15,208807.0,310200.0,154828.0
Indiana,18,873568.0,1360125.0,659495.0
Kentucky,21,636518.0,882400.0,468357.0
Minnesota,27,787006.0,1129850.0,595334.0
Oklahoma,40,640353.0,815675.0,458056.0
Pennsylvania,42,1668862.0,2592850.0,1264215.0
South Carolina,45,649375.0,826950.0,500005.0
District of Columbia,11,114110.0,193800.0,80772.0
Kansas,20,350741.0,581975.0,261332.0
Missouri,29,717483.0,1116475.0,537256.0
Vermont,50,100036.0,138025.0,68654.0
Virginia,51,1274838.0,1590575.0,971199.0
Connecticut,09,626678.0,814525.0,450204.0
Iowa,19,408578.0,590900.0,299032.0
Louisiana,22,701110.0,894850.0,482025.0
Ohio,39,1540491.0,2293650.0,1162381.0
Michigan,26,1465627.0,1896800.0,1023114.0
South Dakota,46,148670.0,182025.0,103076.0
Arkansas,05,447146.0,629900.0,325562.0
Delaware,10,136591.0,188075.0,108096.0
Mississippi,28,386333.0,609025.0,296066.0
New Mexico,35,388806.0,429950.0,272325.0
North Dakota,38,139392.0,155375.0,94160.0
Wyoming,56,89138.0,122000.0,65857.0
Alaska,02,167436.0,271350.0,118189.0
Maine,23,193246.0,299375.0,141778.0
Alabama,01,571115.0,936200.0,448071.0
Idaho,16,214063.0,320800.0,159796.0
Montana,30,157695.0,194325.0,115415.0
West Virginia,54,351427.0,387700.0,230596.0
