state,total_vaccinations,total_distributed,people_vaccinated
Washington,1942877.0,2572750.0,1243596.0
Illinois,3107699.0,4093855.0,2153991.0
California,9860209.0,13233190.0,6739681.0
Arizona,1979929.0,2453985.0,1298827.0
Massachusetts,1941018.0,2381160.0,1341520.0
Wisconsin,1596290.0,1876225.0,1024560.0
Texas,6379094.0,8839175.0,3955205.0
Nebraska,513497.0,665870.0,332116.0
Utah,746392.0,953380.0,422649.0
Oregon,1073041.0,1363665.0,677995.0
Florida,5314200.0,7200465.0,3328742.0
New York,4730809.0,6565865.0,3052380.0
Rhode Island,290963.0,354585.0,208621.0
Georgia,2187289.0,3339265.0,1310024.0
New Hampshire,349825.0,466775.0,255746.0
North Carolina,2661523.0,3301865.0,1692968.0
New Jersey,2325257.0,2783610.0,1609464.0
Colorado,1494910.0,1933440.0,972060.0
Maryland,1497538.0,2110295.0,992264.0
Nevada,750160.0,984300.0,478334.0
Tennessee,1492576.0,2147660.0,965429.0
Hawaii,411264.0,571340.0,259210.0
Indiana,1697536.0,2132730.0,1053529.0
Kentucky,1117369.0,1449775.0,759350.0
Minnesota,1512877.0,1861010.0,1013705.0
Oklahoma,1181414.0,1635550.0,739525.0
Pennsylvania,3036398.0,4332465.0,2080306.0
South Carolina,1202753.0,1541005.0,784515.0
District of Columbia,207421.0,324505.0,90190.0
Kansas,661143.0,1044425.0,462106.0
Missouri,1458439.0,1900855.0,917676.0
Vermont,175767.0,246000.0,111890.0
Virginia,2284452.0,2784575.0,1469462.0
Connecticut,1087313.0,1345595.0,759702.0
Iowa,773314.0,1020845.0,567609.0
Louisiana,1139071.0,1515740.0,717682.0
Ohio,2850454.0,3817675.0,1829145.0
Michigan,2476796.0,3179160.0,1590980.0
South Dakota,294765.0,376770.0,193978.0
Arkansas,704368.0,990640.0,452615.0
Delaware,246194.0,347965.0,154498.0
Mississippi,685610.0,1005145.0,448882.0
New Mexico,743904.0,862495.0,488139.0
North Dakota,246289.0,289160.0,153398.0
Wyoming,163194.0,224885.0,103497.0
Alaska,276891.0,409125.0,172414.0
Maine,334528.0,487680.0,229456.0
Alabama,1032171.0,1530470.0,688791.0
Idaho,428196.0,546405.0,275118.0
Montana,301007.0,387485.0,199610.0
West Virginia,553449.0,659465.0,330737.0
