state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,242606.0,696175.0,200682.0
Illinois,17,437765.0,1011225.0,341518.0
California,06,1072959.0,3548575.0,865387.0
Arizona,04,197086.0,571725.0,176213.0
Massachusetts,25,257175.0,669325.0,222109.0
Wisconsin,55,169803.0,437900.0,151387.0
Texas,48,1160242.0,2105600.0,1003412.0
Nebraska,31,91195.0,211500.0,77734.0
Utah,49,128210.0,268175.0,114504.0
Oregon,41,146153.0,335075.0,133091.0
Florida,12,853081.0,2069175.0,776430.0
New York,36,0,0,0
Rhode Island,44,47548.0,108425.0,39381.0
Georgia,13,231305.0,1011200.0,204301.0
New Hampshire,33,62517.0,127225.0,56797.0
North Carolina,37,302824.0,999650.0,259859.0
New Jersey,34,317070.0,658800.0,278956.0
Colorado,08,272233.0,531775.0,223761.0
Maryland,24,194705.0,565125.0,178831.0
Nevada,32,83674.0,211750.0,67679.0
Tennessee,47,303338.0,657550.0,264912.0
Hawaii,15,46958.0,154150.0,39690.0
Indiana,18,260310.0,642425.0,222599.0
Kentucky,21,174748.0,337450.0,162733.0
Minnesota,27,198253.0,519600.0,170273.0
Oklahoma,40,203410.0,424000.0,173162.0
Pennsylvania,42,448151.0,1075350.0,380727.0
South Carolina,45,121836.0,350550.0,101722.0
District of Columbia,11,39934.0,68325.0,31667.0
Kansas,20,97779.0,263175.0,83293.0
Missouri,29,190447.0,528800.0,153664.0
Vermont,50,32470.0,74000.0,28355.0
Virginia,51,244234.0,852725.0,214732.0
Connecticut,09,185866.0,328775.0,166722.0
Iowa,19,120983.0,269000.0,108056.0
Louisiana,22,197967.0,370175.0,167193.0
Ohio,39,375428.0,968250.0,361818.0
Michigan,26,364182.0,773750.0,312415.0
South Dakota,46,57103.0,93675.0,47389.0
Arkansas,05,118338.0,297800.0,97829.0
Delaware,10,31090.0,91250.0,25649.0
Mississippi,28,84328.0,233550.0,75885.0
New Mexico,35,99305.0,204750.0,80172.0
North Dakota,38,46410.0,68675.0,38506.0
Wyoming,56,22745.0,58775.0,19931.0
Alaska,02,49039.0,150450.0,39546.0
Maine,23,61129.0,136875.0,51631.0
Alabama,01,100567.0,444650.0,86956.0
Idaho,16,46636.0,160075.0,37646.0
Montana,30,49364.0,98500.0,41160.0
West Virginia,54,134207.0,205475.0,113034.0
