state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,449385.0,846625.0,370231.0
Illinois,17,699072.0,1417250.0,556517.0
California,06,2199908.0,4906525.0,1838464.0
Arizona,04,390623.0,829500.0,332095.0
Massachusetts,25,419806.0,859175.0,356102.0
Wisconsin,55,308290.0,610100.0,260664.0
Texas,48,1763299.0,3070825.0,1502751.0
Nebraska,31,132846.0,238100.0,109860.0
Utah,49,202729.0,341725.0,175364.0
Oregon,41,285922.0,492450.0,244669.0
Florida,12,1544794.0,2908275.0,1384479.0
New York,36,0,0,0
Rhode Island,44,67566.0,149225.0,54287.0
Georgia,13,604067.0,1235775.0,534161.0
New Hampshire,33,93338.0,162950.0,79942.0
North Carolina,37,636439.0,1246600.0,552194.0
New Jersey,34,535625.0,989900.0,468760.0
Colorado,08,434496.0,692700.0,355124.0
Maryland,24,338544.0,742175.0,300609.0
Nevada,32,152203.0,286950.0,129223.0
Tennessee,47,452042.0,838825.0,354407.0
Hawaii,15,84792.0,191575.0,67990.0
Indiana,18,446029.0,841725.0,367944.0
Kentucky,21,299493.0,471000.0,268308.0
Minnesota,27,321180.0,680700.0,252927.0
Oklahoma,40,322810.0,496350.0,279283.0
Pennsylvania,42,744591.0,1564125.0,611359.0
South Carolina,45,278795.0,453250.0,233257.0
District of Columbia,11,62391.0,91025.0,49292.0
Kansas,20,151249.0,348175.0,127417.0
Missouri,29,317737.0,661400.0,242937.0
Vermont,50,51872.0,90000.0,41950.0
Virginia,51,451668.0,1069725.0,393127.0
Connecticut,09,321737.0,492850.0,275126.0
Iowa,19,191183.0,361475.0,157635.0
Louisiana,22,334086.0,543700.0,290955.0
Ohio,39,647104.0,1233075.0,575488.0
Michigan,26,695273.0,1095675.0,573167.0
South Dakota,46,80441.0,106575.0,63091.0
Arkansas,05,214240.0,368650.0,179290.0
Delaware,10,64186.0,116325.0,52586.0
Mississippi,28,177636.0,358100.0,161507.0
New Mexico,35,200141.0,257075.0,162636.0
North Dakota,38,73175.0,86750.0,56158.0
Wyoming,56,40803.0,70750.0,35868.0
Alaska,02,94257.0,155700.0,77925.0
Maine,23,99815.0,178450.0,79310.0
Alabama,01,243737.0,521225.0,213833.0
Idaho,16,87128.0,181100.0,72424.0
Montana,30,76590.0,119500.0,62498.0
West Virginia,54,202883.0,243100.0,163801.0
