state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,1040044.0,1429050.0,797359.0
Illinois,17,1604830.0,2455500.0,1243706.0
California,06,5134864.0,7822300.0,4108216.0
Arizona,04,941575.0,1391475.0,747599.0
Massachusetts,25,924612.0,1445425.0,715308.0
Wisconsin,55,826275.0,1080700.0,640058.0
Texas,48,3708460.0,5091325.0,2745305.0
Nebraska,31,247879.0,405600.0,172690.0
Utah,49,510267.0,579600.0,307059.0
Oregon,41,589035.0,840475.0,434561.0
Florida,12,2957730.0,4318675.0,2118750.0
New York,36,0,0,0
Rhode Island,44,127931.0,211650.0,89723.0
Georgia,13,1273015.0,2017525.0,967179.0
New Hampshire,33,184103.0,298075.0,130806.0
North Carolina,37,1382652.0,1938075.0,1050246.0
New Jersey,34,1196677.0,1770250.0,911345.0
Colorado,08,815108.0,1162775.0,570979.0
Maryland,24,745478.0,1188600.0,563324.0
Nevada,32,379077.0,533800.0,299502.0
Tennessee,47,866352.0,1295675.0,595081.0
Hawaii,15,200618.0,308300.0,150648.0
Indiana,18,832031.0,1351325.0,637068.0
Kentucky,21,608198.0,882200.0,454145.0
Minnesota,27,754262.0,1121000.0,575084.0
Oklahoma,40,628361.0,815475.0,452166.0
Pennsylvania,42,1594474.0,2540475.0,1215755.0
South Carolina,45,628496.0,779500.0,487418.0
District of Columbia,11,111720.0,193600.0,79776.0
Kansas,20,332923.0,564000.0,248979.0
Missouri,29,694992.0,1058775.0,524638.0
Vermont,50,96908.0,137925.0,67024.0
Virginia,51,1223199.0,1589875.0,945182.0
Connecticut,09,600249.0,812325.0,437058.0
Iowa,19,387370.0,579200.0,282596.0
Louisiana,22,639019.0,894850.0,448139.0
Ohio,39,1459174.0,2293650.0,1107677.0
Michigan,26,1412047.0,1895500.0,997466.0
South Dakota,46,141733.0,181725.0,97817.0
Arkansas,05,430803.0,593775.0,316972.0
Delaware,10,133370.0,182225.0,105760.0
Mississippi,28,365400.0,601625.0,286055.0
New Mexico,35,369864.0,428675.0,264105.0
North Dakota,38,133616.0,155375.0,90939.0
Wyoming,56,79515.0,118875.0,61170.0
Alaska,02,162273.0,270250.0,116001.0
Maine,23,193246.0,299375.0,141778.0
Alabama,01,543237.0,911875.0,431259.0
Idaho,16,214063.0,319825.0,159796.0
Montana,30,149339.0,192125.0,109266.0
West Virginia,54,340780.0,387400.0,226323.0
