state,fips,total_vaccinations,total_distributed,people_vaccinated
Washington,53,937926.0,1208600.0,731739.0
Illinois,17,1457693.0,2089050.0,1131846.0
California,06,4682862.0,6963500.0,3811715.0
Arizona,04,841018.0,1186000.0,678697.0
Massachusetts,25,806376.0,1247600.0,630154.0
Wisconsin,55,763252.0,926300.0,595912.0
Texas,48,3322062.0,4402275.0,2512804.0
Nebraska,31,234061.0,346375.0,165037.0
Utah,49,506629.0,493525.0,304991.0
Oregon,41,554440.0,734950.0,412660.0
Florida,12,2607527.0,3791925.0,1965590.0
New York,36,0,0,0
Rhode Island,44,120484.0,192300.0,85037.0
Georgia,13,1167738.0,1688075.0,923282.0
New Hampshire,33,166603.0,257700.0,119763.0
North Carolina,37,1274361.0,1718275.0,999151.0
New Jersey,34,1094886.0,1480825.0,822080.0
Colorado,08,751960.0,991075.0,539961.0
Maryland,24,683305.0,1029725.0,531771.0
Nevada,32,346685.0,427800.0,278091.0
Tennessee,47,805720.0,1156975.0,554016.0
Hawaii,15,194035.0,263000.0,142259.0
Indiana,18,749771.0,1118350.0,593266.0
Kentucky,21,564682.0,747000.0,434294.0
Minnesota,27,745290.0,950250.0,541133.0
Oklahoma,40,586054.0,734625.0,431499.0
Pennsylvania,42,1441358.0,2292500.0,1108626.0
South Carolina,45,585692.0,684700.0,460511.0
District of Columbia,11,108475.0,166950.0,75351.0
Kansas,20,303094.0,492250.0,232575.0
Missouri,29,643439.0,961525.0,490686.0
Vermont,50,90328.0,116075.0,63024.0
Virginia,51,1135639.0,1387775.0,897049.0
Connecticut,09,542414.0,740300.0,406697.0
Iowa,19,345350.0,510550.0,252349.0
Louisiana,22,614041.0,769750.0,436190.0
Ohio,39,1346320.0,1901750.0,1038595.0
Michigan,26,1282375.0,1639575.0,938279.0
South Dakota,46,133068.0,161150.0,92615.0
Arkansas,05,401664.0,540050.0,304604.0
Delaware,10,126650.0,161525.0,100736.0
Mississippi,28,327429.0,515450.0,267797.0
New Mexico,35,342786.0,364875.0,251082.0
North Dakota,38,129780.0,131625.0,87633.0
Wyoming,56,76457.0,101650.0,58775.0
Alaska,02,150934.0,248500.0,109890.0
Maine,23,178449.0,254550.0,132273.0
Alabama,01,467636.0,804100.0,378514.0
Idaho,16,195591.0,266475.0,149231.0
Montana,30,139273.0,163675.0,102365.0
West Virginia,54,323387.0,357000.0,218266.0
